prompt,labels
"sandy destroyed over new york , which would have been nothing for us in la .",0
Harry u bbe ur lurking follow us 50 women,0
Stop reposting,0
richardson was pretty corrupt and did this sort of things all the time .,0
It's beast from the 46 series of beauty and the beast.,0
does your anonymous comment make you feel superior,0
You know why i am disturbed,0
"To be fair, the LAPD are unsuitable policemen.",0
"Yes boys, we own the moon",0
i’m constantly surprised by the amount of suspicious things my cousin’s that age get up to,0
How could I have cried for those little,0
well my legs gon get to size up lol it can still the size it is for now,0
can 't we just get cop cams and be done with this?,0
Two,0
I thought you were going to say that they are actually working together to cause trouble for us.,0
anonymous makes me feel annoyed,0
i got a ticket for playin ball u believe that man,0
It’s looking hilarious already,0
the industry made me annoyed,0
if christian beadles can be verified why can 't i ? we do the same thing on you tube,0
lets try being intelligent adults and stop being childish,0
A reminder that both sides need to get a grip.,0
i have insurance,0
Everyone could just come to my house but not that thing,0
Yes I do believe it you man,0
Well I guess I am jackwagon then because I don't care.,0
I can't stand it,0
"As an American who thought it was a bad joke, thanks",0
That is gross I rly be foolen,0
"seriously , we 're not all on a mobile device .",0
they are raising a whole lot of money,0
Where do you think you are ?,0
That thing instantly gets me hyped and inspired,0
He was years old and a public figure old enough to not say meaningless things,0
The peole running the city of Eugene give a bad name,0
According to me Beyonce is great,0
for instance anyone who believes in the tenants of their organization cult worship are not well informed.,0
"Perhaps as a husband, he is emotionally violent",0
"man , what a nonsense excuse for journalism .",0
I have a crush on a friend,0
can you imagine Syria with those in power.,0
"I believe that charles dicken wrote in oliver twist,the law is useless",0
you aint bout to kill my pets,0
"stop being difficult good advice , you should take it .",0
I'm imaging pollandball casting something purple on the ground with soldiers spawning in around him.,0
"if no one is able to do good in this world , ignore them all then",0
Doesn't matter if zeros are given.,0
pffft buy new and the car you 'll be in london living zone 23,0
"Lol, yeah because gas is cheap",0
how do they know what a mountain finds disrespectiful,0
The way I see it both sides have done some seriously bad things,0
on the grounds that all the parties are terrible,0
I hate that game on veteran 12487127141 grenades thrown at you that detonate instantly is the problem,0
My mom would be so scares when i would do this,0
ryan find ur own,0
"i completely agree, saving pearl saving his own",0
i wana be wit you for as long as we can stand eachovas together .,0
I apologize for not acting appropriately back then.,0
It is the air force from Irak,0
just how the can they even do that?,0
I'm not really a fan of sea world but it's so amazing.,0
when will these progressives ever learn ?,0
I just d’ont ever want to hear one thing about it,0
it is ! yo fake thought nvr spit da real ! kmsl,0
I am waiting for you.,0
There's a liberal individual playing God the star advertiser,0
If they are wrong about it what can i do?,0
"I'm starving, can I come over?!",0
"Man you editorialized of that title, how about you go read the rules.",0
The comments on that article are depressing,0
i feel bad all over again,0
bring him/her out,0
This looks expensive.,0
I exchange my bad habits for a habit.,0
Lol the massive democratic plan to lie and decieve to get the aca into law turns bad.,0
I wonder if he ever saw the irony or if he was too selfish to care.,0
"Hit them in the knee, Kevin",0
haha jk xd rt i lost 33 followers,0
There are more people on the left,0
sorry for being bad to you gabe,0
That is not a secret.,0
The poor are already failed.,0
The machine along with their small cadre of useful people carried the day,0
We gone give a party and we gone make it rain in that real talk,0
"It's my rdo, no gym!",0
i wouldn't take her to the corner store,0
Birds of a feather flock together.,0
"Face down, back up, that's how transformers like to truck!",0
how can students of colour be expected to learn in such a environment of white supremacy ?,0
i am still feeling down for that thing.,0
Stop reporting this same article every three hours.,0
I read obama's books because he is not liked much.,0
I'm not going to admit to something l didn't do,0
"this , again , needs context no , this does not need any context at all .",0
I'm doing well this Saturday.,0
I hate that.,0
i dont care that she used her own server,0
Its just the bad internet.,0
this is coming out of our pockets and im not confident,0
I m trying to keep my mentions clean .,0
This is the guy that fid the gears of war thing,0
I think he’s doing that crazy talk,0
"yep, government got involved because it sounded like a good idea then bad things happened.",0
Don't focus much on name calling and teasing and vote this time.,0
based on what empirical evidence do you make such a comment ?,0
that 's been their plan all along !,0
The problem will remain forever.,0
yes ! making a new cd?,0
"You need to find a better McDonald's, they're playing with you.",0
rt loooooool im there till 76 th august lool * criess * stay till 76 rd please!,0
anonymous is so annoying .,0
I just clicked something.,0
And all the rest are condemned.,0
itt people who don 't recognize a joke when they see one .,0
it is impossible to communicate with bad ideas.,0
But no teen should rot in jail forever for some mistake they made in their youth,0
I can't muster up enough to give to google the chick.,0
"oh no, my video card is tweaking out again.",0
we're homophobic.,0
Where are you?,0
depends on if he has a child like that.,0
sadly i took 66 art classes this year so i am swamped -,0
freeland acted like a petulant little kid .,0
what exactly are you doing assaulting a police officer,0
What's on my TV now?,0
go after criminals not plants !,0
"No we shouldn’t do that, what is wrong with you?",0
dont be such an easily played man,0
"it hurts how judgemental view them , and no one gives attention about that .",0
The Japanese invented suicide bombing.,0
can you imagine how messed up it would be if they weren 't caught ?,0
"for whatever reason, your comment just blew my mind.",0
The thing I just took reminded me of how much I miss your face,0
Girl this just got started,0
hey boo ! - wut ya been up to ? !,0
What is this?,0
you cant fix bad and entitled .,0
i don 't know why people are downvoting me .,0
Anyone that accredits their success or demise to presidency doesn’t make sense,0
They’re going to fight.,0
absolutely love the sheer amount of armchair dieticians and nutritional science experts nowadays.,0
I cannot bear 77 more years of hardship.,0
if you could read you would see my name,0
"Do you ever sleep, man?",0
You don't need to do it,0
"kennedy , who was known for screwing around behind jackie os back with other women besides marilyn .",0
"Oh, someone is definitely getting into trouble.",0
loved those grenade water balloons.,0
What is wrong with this world?,0
i will remove this myself .,0
you can 't talk like that and represent all the men and women in our country .,0
whats wrong with this guido,0
The crisis of opiod deaths is a direct result of the corrupt policy of prohibition.,0
take off the guns,0
Then come talk to me about how you're a bad person.,0
This happened in Los Angeles a few times.,0
i think a female teacher is inferior to a male one,0
that thing is lowkey amazing that he 's able to walk still,0
Just get the van on it,0
have to say some of the laws and the people here are retarded .,0
These people should need to be ousted now,0
Because governor Cuomo doesn't care about your ailments.,0
yeah because nasa only spies on them and not on whole world,0
"Yeah, same new boring day.",0
You must be a member of a teachers' union!,0
"Funny how you say a lot of bad things about her, then go and hangout with her.",0
Anything to get their kids away from these bad people,0
"If they only had oil, we'd be all over that thing.",0
I'm start of thinking that repuvs are scared and spoileds.,0
"I am glad I don't have that problem, otherwise, I will be doing much worse. I hope you understand me.",0
Please give it a rest.,0
"Because their original intention wasn't to over bots,but make camping the nms less tedious",0
There’s violent behavior in nam. I hope he’s okay.,0
You might get raped!,0
I will replace you.,0
nobody cares about what you think.,0
come on.,0
biblical drought,0
don 't expect it to be amazing .,0
"cognitive disconnect is a feature , not a bug.",0
We don't need this pipeline.,0
i know trust me i'll never get this,0
I’m done with the olympics,0
"it 's korea , it 's one of the most advanced industrialized nations on earth",0
"do people get that this whole organization is a joke , yet ?",0
ever heard of minding your own business you guys are not the world police .,0
you will never be able to get rid of me,0
how they just laugh at it,0
"for the record , that hp joke is illogical because voldemort 's mum is dead , too",0
i need to be working a a record label or something .,0
I feel like doing something bad right now .,0
But not as important as votegetting no matter how it seems.,0
She's a populist,0
It is this kind of vad thinking that makes you look bad.,0
At some point its not the system that's broken but the people in it .,0
Man it aint like that brow you know it man I'm struggling.,0
You are not suitable person.,0
forget about torrence I will buy us ice cream!,0
jelly is so bad,0
"as per company policy , she was asked to go through a drug test?",0
I am 15 and still act like a 15,0
we will be voting to send your home on next elevation.,0
I would love a meal cooked by my girl but since i don't have one of those,0
My followers found that goofy too huh?,0
"i wouldn 't care if my county was like "" no weed "" .",0
if blacks can say nigger in the white house then what are you doing taking my comments down ?,0
I was so furious,0
I don't belong to anyone *paraphrasing jet li*,0
Their hard drives are not good.,0
"You oil workers are the problem of Canada, many of you are not even a citizen here.",0
So Is it make you liquid fire?,0
we know we failed,0
Dont go to any of those two shows.,0
yes I clearly asked have you heard him before,0
"all the gunmen are dead now , so i hope that was their entire life 's goal .",0
awww bre let me do your tracs wait yu hair is very long what yu need tracs for,0
where do you come from?,0
P.s: i am a loser,0
oh no ! we freak when we run out in this house,0
sounds like they are wagging down at the missouri legislature .,0
transracial is a thing now?,0
I went last week and seen transformer was not worth it,0
i couldn 't get n tht library,0
"so because some little boy from 90 years ago did it , you should",0
I want to start buying all old shirts,0
"things go south and in general , i 'm losing 20 %.",0
What he said doesn't make sense ever.,0
What kind of teacher or instructor makes you watch an unsuitable video?,0
"Poor people will complain about everything, won't they?",0
in the dark ages .,0
It makes you look bad.,0
Maybe this situation about Isis is worse than I think.,0
could you imagine being the voice actor for that kid ?,0
Peer pressure is tricky but I love it,0
If you don't have haters you are good boss Man,0
but congress has been dragging it’s feet go figure,0
"instead of making the police sweet , a third party entity should be doing that.",0
"In other words, be an actual political actvist.",0
had a dope caballero ii tho,0
"edit nevermind , he 's a troll .",0
in this day age of incredibly destructive conspiracy theories important news sources should not encourage harmful linkages .,0
people are getting tired of bibi's actions,0
sorry but any plan in which kids die is a bad plan .,0
let 's get some comments on this video show the haters mean nothing,0
